DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,4967.55,5025,4950,4981.6,5010,5010.65,4977.61,5386.05,4153,277479,1381182139.05,28357,BRITANNIA
2024-02-13,EQ,4970.2,5053.4,4940.2,4970.2,4975,4981.6,5011.81,5386.05,4153,262011,1313148361.2,33139,BRITANNIA
2024-02-12,EQ,4971.5,4997.95,4940.75,4971.5,4978.5,4970.2,4964.2,5386.05,4153,158487,786761928.85,18873,BRITANNIA
2024-02-09,EQ,4875.55,4978.05,4860.05,4875.55,4967,4971.5,4926.51,5386.05,4153,411953,2029489904.35,49968,BRITANNIA
2024-02-08,EQ,5101,5122.4,4833.15,5078.25,4917.9,4875.55,4923.22,5386.05,4153,623680,3070515177.3,108686,BRITANNIA
2024-02-07,EQ,5140,5183.9,4925,5007.05,5085,5078.25,5068.8,5386.05,4153,1258830,6380751899.3,121397,BRITANNIA
2024-02-06,EQ,5124.5,5125,4992.55,5124.5,5015,5007.05,5053.39,5386.05,4153,336609,1701015578.05,47710,BRITANNIA
2024-02-05,EQ,5169.9,5239.75,5078.5,5148.85,5110,5124.5,5144.86,5386.05,4153,231620,1191653381,31189,BRITANNIA
2024-02-02,EQ,5166.75,5209,5131.45,5148.6,5135.8,5148.85,5158.76,5386.05,4153,176167,908803803.7,25425,BRITANNIA
2024-02-01,EQ,5196.05,5201.95,5127.1,5198.4,5144,5148.6,5158.38,5386.05,4153,344394,1776516602.25,45461,BRITANNIA
2024-01-31,EQ,5091.75,5220,5031.75,5091.75,5173.1,5198.4,5137.21,5386.05,4153,549238,2821552940.6,70365,BRITANNIA
2024-01-30,EQ,5163.3,5192.9,5081,5136.9,5097.15,5091.75,5123.44,5386.05,4153,146422,750184643.7,23905,BRITANNIA
2024-01-29,EQ,5142,5219.5,5111.2,5141.9,5153,5136.9,5151.92,5386.05,4153,275710,1420434717.25,29271,BRITANNIA
2024-01-25,EQ,5150,5236.55,5106.1,5142.25,5130.15,5141.9,5156.12,5386.05,4153,342129,1764057569.4,38207,BRITANNIA
